word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,textbox.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,key_resp.started,text.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thanks.started,textbox_2.started,textbox_2.stopped,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0038813749997643754,0.009580166999512585,0.009580166999512585,1.3455380420000438,space,1.1807075409997196,None,,,,,,,,,,,,,,,4,001,2025-08-21_16h16.56.007,stroop 0.1,,2025.1.1,None,2025-08-21 16h17.01.056344 +0530,
BLUE,red,I,r,0,0,0,r,1,1.4870379160001903,None,0,0,0,3,1.3692675000002055,,,,,,,,,1.3631928750000952,1.3692675000002055,1.3692675000002055,1.8489554170009797,1.8582564580010512,2.8613527920006163,r,1,1.4870379160001903,None,,,,,4,001,2025-08-21_16h16.56.007,stroop 0.1,,2025.1.1,None,2025-08-21 16h17.01.056344 +0530,
RED,red,C,r,1,1,0,r,1,1.07688591599981,None,0,1,1,0,2.875347208000676,,,,,,,,,2.8688557500008756,2.875347208000676,2.875347208000676,3.364707582999472,3.3722480830001587,3.957581750000827,r,1,1.07688591599981,None,,,,,4,001,2025-08-21_16h16.56.007,stroop 0.1,,2025.1.1,None,2025-08-21 16h17.01.056344 +0530,
BLUE,blue,C,b,2,2,0,b,1,0.9557299990010506,None,0,2,2,2,3.9764755830001377,,,,,,,,,3.962134583000079,3.9764755830001377,3.9764755830001377,4.455637708000722,4.472438167000291,4.941057375001037,b,1,0.9557299990010506,None,,,,,4,001,2025-08-21_16h16.56.007,stroop 0.1,,2025.1.1,None,2025-08-21 16h17.01.056344 +0530,
RED,blue,I,b,3,3,0,b,1,1.0664568739994138,None,0,3,3,1,4.952763082999809,,,,,,,,,4.946004208000886,4.952763082999809,4.952763082999809,5.439075207999849,5.44204712499959,6.025124208001216,b,1,1.0664568739994138,None,,,,,4,001,2025-08-21_16h16.56.007,stroop 0.1,,2025.1.1,None,2025-08-21 16h17.01.056344 +0530,
RED,red,C,r,4,0,1,r,1,1.2998057490003703,None,1,0,4,0,6.033385958000508,,,,,,,,,6.026510249999774,6.033385958000508,6.033385958000508,6.522509624999657,6.5264078750005865,7.341728625000542,r,1,1.2998057490003703,None,,,,,4,001,2025-08-21_16h16.56.007,stroop 0.1,,2025.1.1,None,2025-08-21 16h17.01.056344 +0530,
BLUE,red,I,r,5,1,1,r,1,1.0049191240013897,None,1,1,5,3,7.352273542001058,,,,,,,,,7.3465080830010265,7.352273542001058,7.352273542001058,7.838945875000718,7.8423317079996195,8.36155858300117,r,1,1.0049191240013897,None,,,,,4,001,2025-08-21_16h16.56.007,stroop 0.1,,2025.1.1,None,2025-08-21 16h17.01.056344 +0530,
RED,blue,I,b,6,2,1,b,1,0.8973767909992603,None,1,2,6,1,8.371826624999812,,,,,,,,,8.365839666999818,8.371826624999812,8.371826624999812,8.863454000000274,8.863454000000274,9.273931957999594,b,1,0.8973767909992603,None,,,,,4,001,2025-08-21_16h16.56.007,stroop 0.1,,2025.1.1,None,2025-08-21 16h17.01.056344 +0530,
BLUE,blue,C,b,7,3,1,b,1,0.9576304160000291,None,1,3,7,2,9.285457457999655,,,,,,,,,9.279009125000812,9.285457457999655,9.285457457999655,9.772251500000493,9.775496000000203,10.257722958000159,b,1,0.9576304160000291,None,,,,,4,001,2025-08-21_16h16.56.007,stroop 0.1,,2025.1.1,None,2025-08-21 16h17.01.056344 +0530,
BLUE,blue,C,b,8,0,2,b,1,1.1383890830002201,None,2,0,8,2,10.26571637500092,,,,,,,,,10.258863917000781,10.26571637500092,10.26571637500092,10.755758417000834,10.759037249999892,11.407860833000086,b,1,1.1383890830002201,None,,,,,4,001,2025-08-21_16h16.56.007,stroop 0.1,,2025.1.1,None,2025-08-21 16h17.01.056344 +0530,
