pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line_1.started,line_2.started,line_3.started,line_4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.44849341601366177,None,0,0,0,0,,,,,0.012203124992083758,,0.008883750007953495,0.012203124992083758,1.0016012089909054,1.0016012089909054,1.0016012089909054,1.0016012089909054,1.0154649169999175,1.9898327920236625,1.9898327920236625,2.6234617920126766,x,1,0.44849341601366177,None,,,,,4,001,2025-10-01_12h55.44.841, Motor Sequence Learning,,2025.1.1,None,2025-10-01 12h55.51.742936 +0530,
150,v,1,1,0,v,1,0.2927321250317618,None,0,1,1,1,,,,,2.6282663340098225,,2.623633000010159,2.6282663340098225,3.6213298339862376,3.6213298339862376,3.6213298339862376,3.6213298339862376,3.6213298339862376,4.621745250013191,4.621745250013191,4.917438334028702,v,1,0.2927321250317618,None,,,,,4,001,2025-10-01_12h55.44.841, Motor Sequence Learning,,2025.1.1,None,2025-10-01 12h55.51.742936 +0530,
50,c,2,2,0,c,1,0.2544474999886006,None,0,2,2,2,,,,,4.926636292017065,,4.9180945419939235,4.926636292017065,5.91582950000884,5.91582950000884,5.91582950000884,5.91582950000884,5.920863625011407,6.915795834036544,6.915795834036544,7.171990375034511,c,1,0.2544474999886006,None,,,,,4,001,2025-10-01_12h55.44.841, Motor Sequence Learning,,2025.1.1,None,2025-10-01 12h55.51.742936 +0530,
-150,z,3,3,0,z,1,0.2577720829867758,None,0,3,3,3,,,,,7.181687792006414,,7.17248304199893,7.181687792006414,8.170278750010766,8.170278750010766,8.170278750010766,8.170278750010766,8.170278750010766,9.17146679200232,9.17146679200232,9.434282125032041,z,1,0.2577720829867758,None,,,,,4,001,2025-10-01_12h55.44.841, Motor Sequence Learning,,2025.1.1,None,2025-10-01 12h55.51.742936 +0530,
-50,x,4,0,1,x,1,0.4336156250210479,None,1,0,4,0,,,,,9.443607625027653,,9.434959417034406,9.443607625027653,10.43242058402393,10.43242058402393,10.43242058402393,10.43242058402393,10.436805459030438,11.432420167024247,11.432420167024247,11.872474959003739,x,1,0.4336156250210479,None,,,,,4,001,2025-10-01_12h55.44.841, Motor Sequence Learning,,2025.1.1,None,2025-10-01 12h55.51.742936 +0530,
150,v,5,1,1,v,1,0.42797433299710974,None,1,1,5,1,,,,,11.882261709019076,,11.873001584026497,11.882261709019076,12.871526000031736,12.871526000031736,12.871526000031736,12.871526000031736,12.871526000031736,13.87209250003798,13.87209250003798,14.304884125012904,v,1,0.42797433299710974,None,,,,,4,001,2025-10-01_12h55.44.841, Motor Sequence Learning,,2025.1.1,None,2025-10-01 12h55.51.742936 +0530,
50,c,6,2,1,c,1,0.22579587495420128,None,1,2,6,2,,,,,14.315005334035959,,14.305401834018994,14.315005334035959,15.304513209033757,15.304513209033757,15.304513209033757,15.304513209033757,15.304513209033757,16.299216209037695,16.299216209037695,16.53407941700425,c,1,0.22579587495420128,None,,,,,4,001,2025-10-01_12h55.44.841, Motor Sequence Learning,,2025.1.1,None,2025-10-01 12h55.51.742936 +0530,
-150,z,7,3,1,z,1,0.3304907499696128,None,1,3,7,3,,,,,16.54403737501707,,16.534622792038135,16.54403737501707,17.532293875003234,17.532293875003234,17.532293875003234,17.532293875003234,17.536631042021327,18.532409792009275,18.532409792009275,18.86766395898303,z,1,0.3304907499696128,None,,,,,4,001,2025-10-01_12h55.44.841, Motor Sequence Learning,,2025.1.1,None,2025-10-01 12h55.51.742936 +0530,
-50,x,8,0,2,x,1,0.42314541700761765,None,2,0,8,0,,,,,18.877855375001673,,18.868480292032473,18.877855375001673,19.865691624989267,19.865691624989267,19.865691624989267,19.865691624989267,19.870219542004634,20.86578512500273,20.86578512500273,21.300872249994427,x,1,0.42314541700761765,None,,,,,4,001,2025-10-01_12h55.44.841, Motor Sequence Learning,,2025.1.1,None,2025-10-01 12h55.51.742936 +0530,
150,v,9,1,2,v,1,0.3117819579783827,None,2,1,9,1,,,,,21.310657583991997,,21.301461709022988,21.310657583991997,22.299190792022273,22.299190792022273,22.299190792022273,22.299190792022273,22.302379209024366,23.29907870903844,23.29907870903844,23.617607833992224,v,1,0.3117819579783827,None,,,,,4,001,2025-10-01_12h55.44.841, Motor Sequence Learning,,2025.1.1,None,2025-10-01 12h55.51.742936 +0530,
50,c,10,2,2,c,1,0.4111111239762977,None,2,2,10,2,,,,,23.627139583986718,,23.618302209011745,23.627139583986718,24.615953500033356,24.615953500033356,24.615953500033356,24.615953500033356,24.62205908400938,25.615746291994583,25.615746291994583,26.034159250033554,c,1,0.4111111239762977,None,,,,,4,001,2025-10-01_12h55.44.841, Motor Sequence Learning,,2025.1.1,None,2025-10-01 12h55.51.742936 +0530,
