thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.23666666666666666)],[np.float64(-0.008333333333333333)],[1],[0],[0],[1.2903159159759525],['target'],0,0,0,0,0.021265124989440665,,5,0.011335916991811246,0.021265124989440665,0.021265124989440665,0.011346458020852879,1.3017370419984218,[np.float64(0.23666666666666666)],[np.float64(-0.008333333333333333)],[1],[0],[0],[1.2903159159759525],['target'],1,001,2025-09-28_16h38.17.062,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h38.24.032610 +0530,
1,0,1,[np.float64(0.31333333333333335)],[np.float64(-0.24666666666666667)],[1],[0],[0],[1.540555499988841],['target'],1,0,1,0,1.3301997919916175,,10,1.3222987079934683,1.3301997919916175,1.3301997919916175,0.020349750004243106,2.862912167009199,[np.float64(0.31333333333333335)],[np.float64(-0.24666666666666667)],[1],[0],[0],[1.540555499988841],['target'],1,001,2025-09-28_16h38.17.062,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h38.24.032610 +0530,
2,0,2,[np.float64(0.11333333333333333)],[np.float64(-0.32166666666666666)],[1],[0],[0],[2.1125668330059852],['target'],2,0,2,0,2.8910559579962865,,10,2.8831177499960177,2.8910559579962865,2.8910559579962865,0.019998125004349276,4.995733999996446,[np.float64(0.11333333333333333)],[np.float64(-0.32166666666666666)],[1],[0],[0],[2.1125668330059852],['target'],1,001,2025-09-28_16h38.17.062,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h38.24.032610 +0530,
3,0,3,[np.float64(0.19166666666666668)],[np.float64(-0.08833333333333333)],[1],[0],[0],[1.3646482919866685],['target'],3,0,3,0,5.0218884170171805,,10,5.014345000003232,5.0218884170171805,5.0218884170171805,0.018429749994538724,6.379036375001306,[np.float64(0.19166666666666668)],[np.float64(-0.08833333333333333)],[1],[0],[0],[1.3646482919866685],['target'],1,001,2025-09-28_16h38.17.062,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h38.24.032610 +0530,
4,0,4,[np.float64(0.23)],[np.float64(0.35333333333333333)],[1],[0],[0],[1.7387149590067565],['target'],4,0,4,0,6.39615508299903,,5,6.389951707998989,6.39615508299903,6.39615508299903,0.010744750004960224,8.12873500000569,[np.float64(0.23)],[np.float64(0.35333333333333333)],[1],[0],[0],[1.7387149590067565],['target'],1,001,2025-09-28_16h38.17.062,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h38.24.032610 +0530,
5,0,5,[np.float64(0.47833333333333333)],[np.float64(-0.39666666666666667)],[1],[0],[0],[2.3276556660130154],['target'],5,0,5,0,8.159551457996713,,10,8.150983166997321,8.159551457996713,8.159551457996713,0.022066667006583884,10.478686791990185,[np.float64(0.47833333333333333)],[np.float64(-0.39666666666666667)],[1],[0],[0],[2.3276556660130154],['target'],1,001,2025-09-28_16h38.17.062,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h38.24.032610 +0530,
6,0,6,[np.float64(-0.22666666666666666)],[np.float64(0.18166666666666667)],[1],[0],[0],[1.5050936669867951],['target'],6,0,6,0,10.496382750017801,,5,10.490016708004987,10.496382750017801,10.496382750017801,0.011162750015500933,11.995173667004565,[np.float64(-0.22666666666666666)],[np.float64(0.18166666666666667)],[1],[0],[0],[1.5050936669867951],['target'],1,001,2025-09-28_16h38.17.062,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h38.24.032610 +0530,
7,0,7,[np.float64(-0.14833333333333334)],[np.float64(0.365)],[1],[0],[0],[1.4964035839948338],['target'],7,0,7,0,12.024543250008719,,10,12.016018916998291,12.024543250008719,12.024543250008719,0.020675749983638525,13.512454792013159,[np.float64(-0.14833333333333334)],[np.float64(0.365)],[1],[0],[0],[1.4964035839948338],['target'],1,001,2025-09-28_16h38.17.062,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h38.24.032610 +0530,
8,0,8,[np.float64(0.20666666666666667)],[np.float64(-0.315)],[1],[0],[0],[1.8822547500021756],['target'],8,0,8,0,13.536893875017995,,10,13.53003075000015,13.536893875017995,13.536893875017995,0.017433834000257775,15.412331333005568,[np.float64(0.20666666666666667)],[np.float64(-0.315)],[1],[0],[0],[1.8822547500021756],['target'],1,001,2025-09-28_16h38.17.062,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h38.24.032610 +0530,
9,0,9,[np.float64(-0.175)],[np.float64(0.4266666666666667)],[1],[0],[0],[1.6056231249822304],['target'],9,0,9,0,15.429442041990114,,5,15.423308666999219,15.429442041990114,15.429442041990114,0.010812833003001288,17.029011792008532,[np.float64(-0.175)],[np.float64(0.4266666666666667)],[1],[0],[0],[1.6056231249822304],['target'],1,001,2025-09-28_16h38.17.062,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h38.24.032610 +0530,
