thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
12,0,12,[np.float64(0.16333333333333333)],[np.float64(-0.18833333333333332)],[1],[0],[0],[1.5293396250053775],['target'],12,0,12,0,21.439936124981614,,10,21.431346041994402,21.439936124981614,21.439936124981614,0.02013179098139517,22.960737749992404,[np.float64(0.16333333333333333)],[np.float64(-0.18833333333333332)],[1],[0],[0],[1.5293396250053775],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
13,0,13,[np.float64(0.275)],[np.float64(-0.05)],[1],[0],[0],[1.0489516670058947],['target'],13,0,13,0,22.98568770897691,,10,22.97877783398144,22.98568770897691,22.98568770897691,0.017865874979179353,24.0277737499855,[np.float64(0.275)],[np.float64(-0.05)],[1],[0],[0],[1.0489516670058947],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
14,0,14,[np.float64(-0.10833333333333334)],[np.float64(-0.08166666666666667)],[1],[0],[0],[1.596229292015778],['target'],14,0,14,0,24.055675416981103,,10,24.048342083988246,24.055675416981103,24.055675416981103,0.020407707983395085,25.644614916993305,[np.float64(-0.10833333333333334)],[np.float64(-0.08166666666666667)],[1],[0],[0],[1.596229292015778],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
15,0,15,[np.float64(-0.18166666666666667)],[np.float64(-0.42333333333333334)],[1],[0],[0],[1.663937667006394],['target'],15,0,15,0,25.672017167002195,,10,25.664019999996526,25.672017167002195,25.672017167002195,0.01923237499431707,27.327998124994338,[np.float64(-0.18166666666666667)],[np.float64(-0.42333333333333334)],[1],[0],[0],[1.663937667006394],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
16,0,16,[np.float64(0.265)],[np.float64(-0.12333333333333334)],[1],[0],[0],[1.4876413329911884],['target'],16,0,16,0,27.34569287498016,,5,27.33943399999407,27.34569287498016,27.34569287498016,0.011272500007180497,28.827143958973465,[np.float64(0.265)],[np.float64(-0.12333333333333334)],[1],[0],[0],[1.4876413329911884],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
17,0,17,[np.float64(0.3933333333333333)],[np.float64(0.023333333333333334)],[1],[0],[0],[1.2960020409955177],['target'],17,0,17,0,28.855993999983184,,10,28.847665958979633,28.855993999983184,28.855993999983184,0.020348041027318686,30.14370287497877,[np.float64(0.3933333333333333)],[np.float64(0.023333333333333334)],[1],[0],[0],[1.2960020409955177],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
18,0,18,[np.float64(-0.26666666666666666)],[np.float64(-0.475)],[1],[0],[0],[3.3557406660111155],['target'],18,0,18,0,30.16076354199322,,5,30.154759458993794,30.16076354199322,30.16076354199322,0.010869833000469953,33.510556875000475,[np.float64(-0.26666666666666666)],[np.float64(-0.475)],[1],[0],[0],[3.3557406660111155],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
19,0,19,[np.float64(-0.15833333333333333)],[np.float64(0.49)],[1],[0],[0],[5.0796321670059115],['target'],19,0,19,0,33.539775999990525,,10,33.53108279197477,33.539775999990525,33.539775999990525,0.020379250025143847,38.610755666974,[np.float64(-0.15833333333333333)],[np.float64(0.49)],[1],[0],[0],[5.0796321670059115],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
20,0,20,[np.float64(-0.48833333333333334)],[np.float64(-0.06833333333333333)],[1],[0],[0],[3.1134289579931647],['target'],20,0,20,0,38.637852791987825,,10,38.630244916974334,38.637852791987825,38.637852791987825,0.019307915994431823,41.74370962497778,[np.float64(-0.48833333333333334)],[np.float64(-0.06833333333333333)],[1],[0],[0],[3.1134289579931647],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
21,0,21,[np.float64(-0.08166666666666667)],[np.float64(-0.06333333333333334)],[1],[0],[0],[1.1169042080000509],['target'],21,0,21,0,41.768728791998,,10,41.761453708983026,41.768728791998,41.768728791998,0.017601708008442074,42.878403499984415,[np.float64(-0.08166666666666667)],[np.float64(-0.06333333333333334)],[1],[0],[0],[1.1169042080000509],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
22,0,22,[np.float64(-0.4766666666666667)],[np.float64(-0.4216666666666667)],[1],[0],[0],[2.4126354999898467],['target'],22,0,22,0,42.90686508399085,,10,42.89854499997455,42.90686508399085,42.90686508399085,0.01997858300455846,45.31122591698659,[np.float64(-0.4766666666666667)],[np.float64(-0.4216666666666667)],[1],[0],[0],[2.4126354999898467],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
23,0,23,[np.float64(0.11166666666666666)],[np.float64(-0.395)],[1],[0],[0],[1.7233694169844966],['target'],23,0,23,0,45.328989333997015,,5,45.32250470897998,45.328989333997015,45.328989333997015,0.011113874992588535,47.04594237499987,[np.float64(0.11166666666666666)],[np.float64(-0.395)],[1],[0],[0],[1.7233694169844966],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
24,0,24,[np.float64(0.3433333333333333)],[np.float64(0.43833333333333335)],[1],[0],[0],[2.909861499996623],['target'],24,0,24,0,47.07614091699361,,10,47.06749716697959,47.07614091699361,47.07614091699361,0.02138270900468342,49.97739587500109,[np.float64(0.3433333333333333)],[np.float64(0.43833333333333335)],[1],[0],[0],[2.909861499996623],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
25,0,25,[np.float64(0.2966666666666667)],[np.float64(0.38666666666666666)],[1],[0],[0],[0.8640109159750864],['target'],25,0,25,0,50.004066458990565,,10,49.99649191700155,50.004066458990565,50.004066458990565,0.01891895802691579,50.860544541996205,[np.float64(0.2966666666666667)],[np.float64(0.38666666666666666)],[1],[0],[0],[0.8640109159750864],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
26,0,26,[np.float64(0.4766666666666667)],[np.float64(0.34)],[1],[0],[0],[0.8473217920109164],['target'],26,0,26,0,50.887626958981855,,10,50.88001141700079,50.887626958981855,50.887626958981855,0.01929679198656231,51.727372083987575,[np.float64(0.4766666666666667)],[np.float64(0.34)],[1],[0],[0],[0.8473217920109164],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
27,0,27,[np.float64(-0.2)],[np.float64(0.19)],[1],[0],[0],[1.2391829170228448],['target'],27,0,27,0,51.744651749992045,,5,51.738262541999575,51.744651749992045,51.744651749992045,0.010730042005889118,52.97750474998611,[np.float64(-0.2)],[np.float64(0.19)],[1],[0],[0],[1.2391829170228448],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
28,0,28,[np.float64(-0.445)],[np.float64(-0.43833333333333335)],[1],[0],[0],[2.020674125000369],['target'],28,0,28,0,52.99577312497422,,5,52.98932145899744,52.99577312497422,52.99577312497422,0.01164470802177675,55.010053916979814,[np.float64(-0.445)],[np.float64(-0.43833333333333335)],[1],[0],[0],[2.020674125000369],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
29,0,29,[np.float64(-0.095)],[np.float64(0.018333333333333333)],[1],[0],[0],[1.0632713329978287],['target'],29,0,29,0,55.038749833998736,,10,55.03048741698149,55.038749833998736,55.038749833998736,0.020255875017028302,56.09379820898175,[np.float64(-0.095)],[np.float64(0.018333333333333333)],[1],[0],[0],[1.0632713329978287],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
30,0,30,[np.float64(0.07166666666666667)],[np.float64(0.41)],[1],[0],[0],[2.2980412500037346],['target'],30,0,30,0,56.1197483339929,,10,56.112479208997684,56.1197483339929,56.1197483339929,0.018513500021072105,58.41056574997492,[np.float64(0.07166666666666667)],[np.float64(0.41)],[1],[0],[0],[2.2980412500037346],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
31,0,31,[np.float64(-0.47833333333333333)],[np.float64(-0.16666666666666666)],[1],[0],[0],[2.8815247919992544],['target'],31,0,31,0,58.436674917000346,,10,58.429433458979474,58.436674917000346,58.436674917000346,0.018703167006606236,61.31100620899815,[np.float64(-0.47833333333333333)],[np.float64(-0.16666666666666666)],[1],[0],[0],[2.8815247919992544],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
32,0,32,[np.float64(-0.315)],[np.float64(0.4166666666666667)],[1],[0],[0],[2.22301737498492],['target'],32,0,32,0,61.328849791985704,,5,61.3225398339855,61.328849791985704,61.328849791985704,0.011342916986905038,63.54563041697838,[np.float64(-0.315)],[np.float64(0.4166666666666667)],[1],[0],[0],[2.22301737498492],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
33,0,33,[np.float64(0.445)],[np.float64(0.06666666666666667)],[1],[0],[0],[2.4520845000224654],['target'],33,0,33,0,63.56576212498476,,5,63.559015374979936,63.56576212498476,63.56576212498476,0.013204207993112504,66.01115924998885,[np.float64(0.445)],[np.float64(0.06666666666666667)],[1],[0],[0],[2.4520845000224654],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
34,0,34,[np.float64(0.2683333333333333)],[np.float64(0.051666666666666666)],[1],[0],[0],[1.4111049170023762],['target'],34,0,34,0,66.04244362498866,,10,66.03367770899786,66.04244362498866,66.04244362498866,0.022337792004691437,67.44482312499895,[np.float64(0.2683333333333333)],[np.float64(0.051666666666666666)],[1],[0],[0],[1.4111049170023762],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
35,0,35,[np.float64(0.19166666666666668)],[np.float64(-0.055)],[1],[0],[0],[1.0894958330027293],['target'],35,0,35,0,67.46303391698166,,5,67.45657820897759,67.46303391698166,67.46303391698166,0.011590707988943905,68.54613958398113,[np.float64(0.19166666666666668)],[np.float64(-0.055)],[1],[0],[0],[1.0894958330027293],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
36,0,36,[np.float64(0.265)],[np.float64(-0.44)],[1],[0],[0],[2.4433103750052396],['target'],36,0,36,0,68.57761162499082,,10,68.56871049999609,68.57761162499082,68.57761162499082,0.022397916007321328,71.01207583397627,[np.float64(0.265)],[np.float64(-0.44)],[1],[0],[0],[2.4433103750052396],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
37,0,37,[np.float64(0.011666666666666667)],[np.float64(0.21666666666666667)],[1],[0],[0],[1.961491207999643],['target'],37,0,37,0,71.04071583398036,,10,71.03245104197413,71.04071583398036,71.04071583398036,0.02014733399846591,72.99398349999683,[np.float64(0.011666666666666667)],[np.float64(0.21666666666666667)],[1],[0],[0],[1.961491207999643],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
38,0,38,[np.float64(0.06333333333333334)],[np.float64(-0.125)],[1],[0],[0],[1.7136072920111474],['target'],38,0,38,0,73.0212357499986,,10,73.01383545898716,73.0212357499986,73.0212357499986,0.019683124992297962,74.72748449997744,[np.float64(0.06333333333333334)],[np.float64(-0.125)],[1],[0],[0],[1.7136072920111474],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
39,0,39,[np.float64(-0.028333333333333332)],[np.float64(0.44333333333333336)],[1],[0],[0],[2.9982338749978226],['target'],39,0,39,0,74.75295783398906,,10,74.74577237499761,74.75295783398906,74.75295783398906,0.01811920801992528,77.7440649170021,[np.float64(-0.028333333333333332)],[np.float64(0.44333333333333336)],[1],[0],[0],[2.9982338749978226],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
40,0,40,[np.float64(-0.37333333333333335)],[np.float64(0.09333333333333334)],[1],[0],[0],[2.8636698340123985],['target'],40,0,40,0,77.7712101249781,,10,77.76361395898857,77.7712101249781,77.7712101249781,0.019376959011424333,80.62732958397828,[np.float64(-0.37333333333333335)],[np.float64(0.09333333333333334)],[1],[0],[0],[2.8636698340123985],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
41,0,41,[np.float64(0.33166666666666667)],[np.float64(0.4033333333333333)],[1],[0],[0],[2.614713084010873],['target'],41,0,41,0,80.65385458400124,,10,80.64625479199458,80.65385458400124,80.65385458400124,0.018754832999547943,83.26100804199814,[np.float64(0.33166666666666667)],[np.float64(0.4033333333333333)],[1],[0],[0],[2.614713084010873],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
42,0,42,[np.float64(0.25166666666666665)],[np.float64(-0.22833333333333333)],[1],[0],[0],[2.1482673329883255],['target'],42,0,42,0,83.28816383398953,,10,83.28018133397563,83.28816383398953,83.28816383398953,0.0189961249998305,85.42849270897568,[np.float64(0.25166666666666665)],[np.float64(-0.22833333333333333)],[1],[0],[0],[2.1482673329883255],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
43,0,43,[np.float64(0.013333333333333334)],[np.float64(-0.26666666666666666)],[1],[0],[0],[1.1701124170213006],['target'],43,0,43,0,85.44678162498167,,5,85.44012237497373,85.44678162498167,85.44678162498167,0.011463917006039992,86.6103012499807,[np.float64(0.013333333333333334)],[np.float64(-0.26666666666666666)],[1],[0],[0],[1.1701124170213006],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
44,0,44,[np.float64(-0.02)],[np.float64(0.345)],[1],[0],[0],[1.7043834170035552],['target'],44,0,44,0,86.6298138749844,,5,86.62299379199976,86.6298138749844,86.6298138749844,0.012512208020780236,88.32743341699825,[np.float64(-0.02)],[np.float64(0.345)],[1],[0],[0],[1.7043834170035552],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
45,0,45,[np.float64(-0.37833333333333335)],[np.float64(-0.24666666666666667)],[1],[0],[0],[2.363442582980497],['target'],45,0,45,0,88.35626124998089,,10,88.34779837497626,88.35626124998089,88.35626124998089,0.020187791989883408,90.7112782089971,[np.float64(-0.37833333333333335)],[np.float64(-0.24666666666666667)],[1],[0],[0],[2.363442582980497],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
46,0,46,[np.float64(-0.03833333333333333)],[np.float64(0.4066666666666667)],[1],[0],[0],[2.3138728750054725],['target'],46,0,46,0,90.7390853339748,,10,90.73059424999519,90.7390853339748,90.7390853339748,0.019152791006490588,93.04451887498726,[np.float64(-0.03833333333333333)],[np.float64(0.4066666666666667)],[1],[0],[0],[2.3138728750054725],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
47,0,47,[np.float64(-0.20166666666666666)],[np.float64(0.22)],[1],[0],[0],[1.0559910409792792],['target'],47,0,47,0,93.0610617089842,,5,93.05477391698514,93.0610617089842,93.0610617089842,0.010080457985168323,94.1108221669856,[np.float64(-0.20166666666666666)],[np.float64(0.22)],[1],[0],[0],[1.0559910409792792],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
48,0,48,[np.float64(0.03)],[np.float64(-0.25166666666666665)],[1],[0],[0],[1.75622954100254],['target'],48,0,48,0,94.1396425839921,,10,94.13131866700132,94.1396425839921,94.1396425839921,0.020316541980719194,95.88761454197811,[np.float64(0.03)],[np.float64(-0.25166666666666665)],[1],[0],[0],[1.75622954100254],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
49,0,49,[np.float64(-0.24666666666666667)],[np.float64(0.08666666666666667)],[1],[0],[0],[1.574146250000922],['target'],49,0,49,0,95.90955954199308,,10,95.90300237498013,95.90955954199308,95.90955954199308,0.015251958015142009,97.47719787497772,[np.float64(-0.24666666666666667)],[np.float64(0.08666666666666667)],[1],[0],[0],[1.574146250000922],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
50,0,50,[np.float64(-0.11833333333333333)],[np.float64(0.17333333333333334)],[1],[0],[0],[1.408459166996181],['target'],50,0,50,0,97.49400358399726,,5,97.48769816698041,97.49400358399726,97.49400358399726,0.010319875000277534,98.8962246250012,[np.float64(-0.11833333333333333)],[np.float64(0.17333333333333334)],[1],[0],[0],[1.408459166996181],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
51,0,51,[np.float64(0.2966666666666667)],[np.float64(0.056666666666666664)],[1],[0],[0],[2.9419969170121476],['target'],51,0,51,0,98.92813183399267,,10,98.91886345899547,98.92813183399267,98.92813183399267,0.02246987499529496,101.86090441700071,[np.float64(0.2966666666666667)],[np.float64(0.056666666666666664)],[1],[0],[0],[2.9419969170121476],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
52,0,52,[np.float64(-0.36)],[np.float64(0.42833333333333334)],[1],[0],[0],[2.2895030830113683],['target'],52,0,52,0,101.87877258399385,,5,101.8722335420025,101.87877258399385,101.87877258399385,0.011157959001138806,104.16179512499366,[np.float64(-0.36)],[np.float64(0.42833333333333334)],[1],[0],[0],[2.2895030830113683],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
53,0,53,[np.float64(0.16333333333333333)],[np.float64(0.08)],[1],[0],[0],[1.7269322089850903],['target'],53,0,53,0,104.1930783749849,,10,104.1839717089897,104.1930783749849,104.1930783749849,0.022012041008565575,105.91094333399087,[np.float64(0.16333333333333333)],[np.float64(0.08)],[1],[0],[0],[1.7269322089850903],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
54,0,54,[np.float64(-0.09333333333333334)],[np.float64(-0.115)],[1],[0],[0],[2.3485282089968678],['target'],54,0,54,0,105.93683120899368,,10,105.92898224998498,105.93683120899368,105.93683120899368,0.017867708986159414,108.27755041699857,[np.float64(-0.09333333333333334)],[np.float64(-0.115)],[1],[0],[0],[2.3485282089968678],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
55,0,55,[np.float64(-0.47333333333333333)],[np.float64(0.225)],[1],[0],[0],[2.165659125021193],['target'],55,0,55,0,108.3031237499963,,10,108.29575533399475,108.3031237499963,108.3031237499963,0.018053124978905544,110.46145758399507,[np.float64(-0.47333333333333333)],[np.float64(0.225)],[1],[0],[0],[2.165659125021193],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
56,0,56,[np.float64(-0.22666666666666666)],[np.float64(0.31666666666666665)],[1],[0],[0],[1.2477649170032237],['target'],56,0,56,0,110.48805383397848,,10,110.48045212498982,110.48805383397848,110.48805383397848,0.018831499997759238,111.72826237499248,[np.float64(-0.22666666666666666)],[np.float64(0.31666666666666665)],[1],[0],[0],[1.2477649170032237],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
57,0,57,[np.float64(0.17)],[np.float64(-0.215)],[1],[0],[0],[1.5633740419871174],['target'],57,0,57,0,111.75472987498506,,10,111.74736320899683,111.75472987498506,111.75472987498506,0.018939250003313646,113.31078708398854,[np.float64(0.17)],[np.float64(-0.215)],[1],[0],[0],[1.5633740419871174],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
