thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.49666666666666665)],[np.float64(-0.08666666666666667)],[1],[0],[0],[2.4145035420078784],['target'],0,0,0,0,0.021901458996580914,,10,0.014009374979650602,0.021901458996580914,0.021901458996580914,0.014018582995049655,2.4285813339811284,[np.float64(0.49666666666666665)],[np.float64(-0.08666666666666667)],[1],[0],[0],[2.4145035420078784],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
1,0,1,[np.float64(0.2)],[np.float64(-0.4583333333333333)],[1],[0],[0],[1.5545596670126542],['target'],1,0,1,0,2.4461202090024017,,5,2.4397011669934727,2.4461202090024017,2.4461202090024017,0.010882375005166978,3.9943179589754436,[np.float64(0.2)],[np.float64(-0.4583333333333333)],[1],[0],[0],[1.5545596670126542],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
2,0,2,[np.float64(0.14)],[np.float64(-0.01)],[1],[0],[0],[1.294427499989979],['target'],2,0,2,0,4.025135749980109,,10,4.016502708982443,4.025135749980109,4.025135749980109,0.02200587498373352,5.3109690839773975,[np.float64(0.14)],[np.float64(-0.01)],[1],[0],[0],[1.294427499989979],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
3,0,3,[np.float64(-0.19666666666666666)],[np.float64(-0.3883333333333333)],[1],[0],[0],[2.240082749980502],['target'],3,0,3,0,5.328528499987442,,5,5.322487375000492,5.328528499987442,5.328528499987442,0.011357541021425277,7.562633499997901,[np.float64(-0.19666666666666666)],[np.float64(-0.3883333333333333)],[1],[0],[0],[2.240082749980502],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
4,0,4,[np.float64(0.4633333333333333)],[np.float64(-0.25833333333333336)],[1],[0],[0],[1.6426710000087041],['target'],4,0,4,0,7.593760999996448,,10,7.584950124990428,7.593760999996448,7.593760999996448,0.022128207987407222,9.227664249978261,[np.float64(0.4633333333333333)],[np.float64(-0.25833333333333336)],[1],[0],[0],[1.6426710000087041],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
5,0,5,[np.float64(-0.23333333333333334)],[np.float64(0.18)],[1],[0],[0],[1.7404618749860674],['target'],5,0,5,0,9.245029999990948,,5,9.238873416994466,9.245029999990948,9.245029999990948,0.011042958998586982,10.979396583978087,[np.float64(-0.23333333333333334)],[np.float64(0.18)],[1],[0],[0],[1.7404618749860674],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
6,0,6,[np.float64(0.37)],[np.float64(0.3466666666666667)],[1],[0],[0],[1.45097945901216],['target'],6,0,6,0,10.999476874974789,,5,10.992816458980087,10.999476874974789,10.999476874974789,0.013250541989691556,12.443849249975756,[np.float64(0.37)],[np.float64(0.3466666666666667)],[1],[0],[0],[1.45097945901216],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
7,0,7,[np.float64(0.24)],[np.float64(0.18)],[1],[0],[0],[1.3281225829850882],['target'],7,0,7,0,12.474285374977626,,10,12.465670541976579,12.474285374977626,12.474285374977626,0.02164062499650754,13.793830958980834,[np.float64(0.24)],[np.float64(0.18)],[1],[0],[0],[1.3281225829850882],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
8,0,8,[np.float64(-0.395)],[np.float64(0.095)],[1],[0],[0],[2.1567542080010753],['target'],8,0,8,0,13.81043437498738,,5,13.80423629199504,13.81043437498738,13.81043437498738,0.01024283401784487,15.961061291978694,[np.float64(-0.395)],[np.float64(0.095)],[1],[0],[0],[2.1567542080010753],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
9,0,9,[np.float64(-0.42)],[np.float64(0.4583333333333333)],[1],[0],[0],[2.5625080830068327],['target'],9,0,9,0,15.990475749975303,,10,15.981982291996246,15.990475749975303,15.990475749975303,0.0207269589882344,18.5445324589964,[np.float64(-0.42)],[np.float64(0.4583333333333333)],[1],[0],[0],[2.5625080830068327],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
10,0,10,[np.float64(-0.29)],[np.float64(0.4816666666666667)],[1],[0],[0],[1.1060612080036663],['target'],10,0,10,0,18.562450749974232,,5,18.556244666979183,18.562450749974232,18.562450749974232,0.011547082976903766,19.662375583982794,[np.float64(-0.29)],[np.float64(0.4816666666666667)],[1],[0],[0],[1.1060612080036663],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
11,0,11,[np.float64(-0.4866666666666667)],[np.float64(-0.4816666666666667)],[1],[0],[0],[1.7263109170016833],['target'],11,0,11,0,19.69348554199678,,10,19.68469858399476,19.69348554199678,19.69348554199678,0.022143167007016018,21.41105087500182,[np.float64(-0.4866666666666667)],[np.float64(-0.4816666666666667)],[1],[0],[0],[1.7263109170016833],['target'],2,001,2025-09-28_16h49.31.421,Visual Search Experiment,,2025.1.1,None,2025-09-28 16h49.37.936172 +0530,
