reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
49.0,60.0,89.0,0,0,0,t,11.466976041003363,None,0,0,0,4,0.03545320898410864,,0.032082916994113475,0.03545320898410864,0.9967427919909824,0.9967427919909824,1.034495166997658,12.661308208975242,t,11.466976041003363,None,3,001,2025-10-30_09h53.26.653,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h53.36.506708 +0530,
9.0,18.0,12.0,1,1,0,l,1.7416380410140846,None,0,1,1,8,12.67519045897643,,12.663938166981097,12.67519045897643,13.652683749998687,13.652683749998687,13.66856491699582,15.400141249992885,l,1.7416380410140846,None,3,001,2025-10-30_09h53.26.653,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h53.36.506708 +0530,
67.0,75.0,119.0,2,2,0,t,2.062489748990629,None,0,2,2,5,15.417275874991901,,15.410467791982228,15.417275874991901,16.397683708986733,16.397683708986733,16.41426758398302,18.465712041972438,t,2.062489748990629,None,3,001,2025-10-30_09h53.26.653,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h53.36.506708 +0530,
40.0,55.0,62.0,3,3,0,t,2.1186489159881603,None,0,3,3,3,18.48003299999982,,18.47248179197777,18.48003299999982,19.46444199999678,19.46444199999678,19.468730874999892,21.586837249982636,t,2.1186489159881603,None,3,001,2025-10-30_09h53.26.653,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h53.36.506708 +0530,
27.0,50.0,21.0,4,4,0,l,4.942420124018099,None,0,4,4,2,21.601290083985077,,21.59374499999103,21.601290083985077,22.585824624984525,22.585824624984525,22.597678874997655,27.533063666982343,l,4.942420124018099,None,3,001,2025-10-30_09h53.26.653,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h53.36.506708 +0530,
50.0,69.0,49.0,5,5,0,l,3.2266329159901943,None,0,5,5,9,27.548679958999855,,27.54016716699698,27.548679958999855,28.53095887499512,28.53095887499512,28.54776433398365,31.766226874984568,l,3.2266329159901943,None,3,001,2025-10-30_09h53.26.653,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h53.36.506708 +0530,
90.0,101.0,190.0,6,6,0,t,4.606803207017947,None,0,6,6,7,31.781641249981476,,31.774119999987306,31.781641249981476,32.764344166993396,32.764344166993396,32.767882958985865,37.382726833980996,t,4.606803207017947,None,3,001,2025-10-30_09h53.26.653,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h53.36.506708 +0530,
78.0,80.0,162.0,7,7,0,t,1.5691684579942375,None,0,7,7,6,37.397624541976256,,37.389814499998465,37.397624541976256,38.380917041999055,38.380917041999055,38.38520445898757,39.95270649998565,t,1.5691684579942375,None,3,001,2025-10-30_09h53.26.653,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h53.36.506708 +0530,
15.0,35.0,13.0,8,8,0,l,1.3707978749880567,None,0,8,8,1,39.9670137919893,,39.96162020898191,39.9670137919893,40.952277916978346,40.952277916978346,40.964330666989554,42.33281354198698,l,1.3707978749880567,None,3,001,2025-10-30_09h53.26.653,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h53.36.506708 +0530,
11.0,30.0,7.0,9,9,0,l,2.253062708012294,None,0,9,9,0,42.3474378749961,,42.34006729198154,42.3474378749961,43.33092716700048,43.33092716700048,43.33473783399677,45.586732041992946,l,2.253062708012294,None,3,001,2025-10-30_09h53.26.653,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h53.36.506708 +0530,
11.0,30.0,7.0,10,0,1,l,2.7105049160018098,None,1,0,10,0,45.59762754198164,,45.58701829198981,45.59762754198164,46.58440512497327,46.58440512497327,46.58440512497327,49.29934654198587,l,2.7105049160018098,None,3,001,2025-10-30_09h53.26.653,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h53.36.506708 +0530,
9.0,18.0,12.0,11,1,1,l,2.2412562489917036,None,1,1,11,8,49.31550104197231,,49.30880179197993,49.31550104197231,50.29755820898572,50.29755820898572,50.31434512499254,52.54899783397559,l,2.2412562489917036,None,3,001,2025-10-30_09h53.26.653,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h53.36.506708 +0530,
90.0,101.0,190.0,12,2,1,t,1.2022454160032794,None,1,2,12,7,52.562797166989185,,52.55551862498396,52.562797166989185,53.54748345899861,53.54748345899861,53.55091716698371,54.75346074998379,t,1.2022454160032794,None,3,001,2025-10-30_09h53.26.653,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h53.36.506708 +0530,
40.0,55.0,62.0,13,3,1,t,2.0790668739937246,None,1,3,13,3,54.76709512498928,,54.76006083399989,54.76709512498928,55.75165495899273,55.75165495899273,55.76436487497995,57.833178791974206,t,2.0790668739937246,None,3,001,2025-10-30_09h53.26.653,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h53.36.506708 +0530,
50.0,69.0,49.0,14,4,1,t,1.3625977909832727,None,1,4,14,9,57.846952499996405,,57.83982624998316,57.846952499996405,58.83105091698235,58.83105091698235,58.8354576669808,60.19941329199355,t,1.3625977909832727,None,3,001,2025-10-30_09h53.26.653,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h53.36.506708 +0530,
67.0,75.0,119.0,15,5,1,l,1.798857665999094,None,1,5,15,5,60.213498083991,,60.206209791998845,60.213498083991,61.197743083990645,61.197743083990645,61.20154716697289,62.99916524998844,l,1.798857665999094,None,3,001,2025-10-30_09h53.26.653,Tutorial 6 | Delay Discounting Task,,2025.1.1,None,2025-10-30 09h53.36.506708 +0530,
