word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,textbox.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,key_resp.started,text.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thanks.started,textbox_2.started,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.003850042001431575,0.006833500001448556,0.006833500001448556,1.9130611670007056,space,1.7628209569993487,None,,,,,,,,,,,,,,3,001,2025-08-21_16h13.54.395,stroop 0.1,,2025.1.1,None,2025-08-21 16h14.00.599968 +0530,
RED,red,C,r,0,0,0,r,1,1.684594250000373,None,0,0,0,0,1.9376697500010778,,,,,,,,,1.93126758300059,1.9376697500010778,1.9376697500010778,2.411756167000931,2.4309087920009915,3.6304019580002205,r,1,1.684594250000373,None,,,,3,001,2025-08-21_16h13.54.395,stroop 0.1,,2025.1.1,None,2025-08-21 16h14.00.599968 +0530,
BLUE,blue,C,b,1,1,0,b,1,1.6293651240011968,None,0,1,1,2,3.646747624999989,,,,,,,,,3.639996333000454,3.646747624999989,3.646747624999989,4.128374833000635,4.1508940420008,5.280683792001582,b,1,1.6293651240011968,None,,,,3,001,2025-08-21_16h13.54.395,stroop 0.1,,2025.1.1,None,2025-08-21 16h14.00.599968 +0530,
BLUE,red,I,r,2,2,0,r,1,1.4510625830007484,None,0,2,2,3,5.2911510830017505,,,,,,,,,5.281946542001606,5.2911510830017505,5.2911510830017505,5.77852087500105,5.7827311670007475,6.7466859170017415,r,1,1.4510625830007484,None,,,,3,001,2025-08-21_16h13.54.395,stroop 0.1,,2025.1.1,None,2025-08-21 16h14.00.599968 +0530,
RED,blue,I,b,3,3,0,b,1,1.6431902079984866,None,0,3,3,1,6.759963500000595,,,,,,,,,6.7510767500007205,6.759963500000595,6.759963500000595,7.2452170830001705,7.2487949170008505,8.41368254200097,b,1,1.6431902079984866,None,,,,3,001,2025-08-21_16h13.54.395,stroop 0.1,,2025.1.1,None,2025-08-21 16h14.00.599968 +0530,
RED,red,C,r,4,0,1,r,1,1.1554185830009374,None,1,0,4,0,8.423599583000396,,,,,,,,,8.415167375000237,8.423599583000396,8.423599583000396,8.9118650420005,8.915307333001692,9.583316833000936,r,1,1.1554185830009374,None,,,,3,001,2025-08-21_16h13.54.395,stroop 0.1,,2025.1.1,None,2025-08-21 16h14.00.599968 +0530,
BLUE,blue,C,b,5,1,1,b,1,0.9672501660006674,None,1,1,5,2,9.594817792001777,,,,,,,,,9.587799833001554,9.594817792001777,9.594817792001777,10.084388083001613,10.084388083001613,10.566062792000594,b,1,0.9672501660006674,None,,,,3,001,2025-08-21_16h13.54.395,stroop 0.1,,2025.1.1,None,2025-08-21 16h14.00.599968 +0530,
BLUE,red,I,r,6,2,1,r,1,1.4616170409990445,None,1,2,6,3,10.578506125000786,,,,,,,,,10.567020375001448,10.578506125000786,10.578506125000786,11.061838250001529,11.065653708001264,12.046974625000075,r,1,1.4616170409990445,None,,,,3,001,2025-08-21_16h13.54.395,stroop 0.1,,2025.1.1,None,2025-08-21 16h14.00.599968 +0530,
RED,blue,I,b,7,3,1,b,1,1.5276813319997018,None,1,3,7,1,12.058257417000277,,,,,,,,,12.051224417000412,12.058257417000277,12.058257417000277,12.545183375001216,12.548540333000346,13.596993167000619,b,1,1.5276813319997018,None,,,,3,001,2025-08-21_16h13.54.395,stroop 0.1,,2025.1.1,None,2025-08-21 16h14.00.599968 +0530,
BLUE,red,I,r,8,0,2,r,1,1.215241915999286,None,2,0,8,3,13.608763708001788,,,,,,,,,13.601526042000842,13.608763708001788,13.608763708001788,14.095178542000212,14.099065833001077,14.830215833000693,r,1,1.215241915999286,None,,,,3,001,2025-08-21_16h13.54.395,stroop 0.1,,2025.1.1,None,2025-08-21 16h14.00.599968 +0530,
