study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
mouse,0,0,0,1.42,4.742684541997733,,,,,,,,,,,,0,0,0,8,,,,,0.01683012500143377,,0.008008917000552174,0.01683012500143377,0.01683012500143377,4.7607482919993345,1.42,4.742684541997733,,,,,,,,,,,,,,,,3,001,2025-10-09_10h22.08.618,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h23.21.137299 +0530,
laptop,1,1,0,1.42,1.2702083340045647,,,,,,,,,,,,0,1,1,5,,,,,4.76983212500636,,4.764103000001342,4.76983212500636,4.76983212500636,6.043962375006231,1.42,1.2702083340045647,,,,,,,,,,,,,,,,3,001,2025-10-09_10h22.08.618,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h23.21.137299 +0530,
phone,2,2,0,1.42,1.1702594590024091,,,,,,,,,,,,0,2,2,2,,,,,6.05281887500314,,6.047109458006162,6.05281887500314,6.05281887500314,7.227550292001979,1.42,1.1702594590024091,,,,,,,,,,,,,,,,3,001,2025-10-09_10h22.08.618,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h23.21.137299 +0530,
case,3,3,0,1.42,1.354878625003039,,,,,,,,,,,,0,3,3,10,,,,,7.23519791700528,,7.229678499999864,7.23519791700528,7.23519791700528,8.5942224169994,1.42,1.354878625003039,,,,,,,,,,,,,,,,3,001,2025-10-09_10h22.08.618,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h23.21.137299 +0530,
chart,4,4,0,1.42,1.5025997499978985,,,,,,,,,,,,0,4,4,6,,,,,8.60273175000475,,8.59706054200069,8.60273175000475,8.60273175000475,10.109915500004718,1.42,1.5025997499978985,,,,,,,,,,,,,,,,3,001,2025-10-09_10h22.08.618,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h23.21.137299 +0530,
police,5,5,0,1.42,0.9870916250001756,,,,,,,,,,,,0,5,5,12,,,,,10.116163708000386,,10.11172125000303,10.116163708000386,10.116163708000386,11.109848292006063,1.42,0.9870916250001756,,,,,,,,,,,,,,,,3,001,2025-10-09_10h22.08.618,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h23.21.137299 +0530,
t-shirt,6,6,0,1.42,1.0875382500016713,,,,,,,,,,,,0,6,6,7,,,,,11.116691458002606,,11.112402917002328,11.116691458002606,11.116691458002606,12.21026604200597,1.42,1.0875382500016713,,,,,,,,,,,,,,,,3,001,2025-10-09_10h22.08.618,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h23.21.137299 +0530,
poster,7,7,0,1.42,0.736852916998032,,,,,,,,,,,,0,7,7,14,,,,,12.21675920800044,,12.212123375000374,12.21675920800044,12.21675920800044,12.959830083003908,1.42,0.736852916998032,,,,,,,,,,,,,,,,3,001,2025-10-09_10h22.08.618,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h23.21.137299 +0530,
pastry,8,8,0,1.42,0.7200141249995795,,,,,,,,,,,,0,8,8,9,,,,,12.966811417005374,,12.962316708006256,12.966811417005374,12.966811417005374,13.69319195800199,1.42,0.7200141249995795,,,,,,,,,,,,,,,,3,001,2025-10-09_10h22.08.618,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h23.21.137299 +0530,
board,9,9,0,1.42,0.68665062499349,,,,,,,,,,,,0,9,9,4,,,,,13.700070167004014,,13.695558292005444,13.700070167004014,13.700070167004014,14.393152208001993,1.42,0.68665062499349,,,,,,,,,,,,,,,,3,001,2025-10-09_10h22.08.618,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h23.21.137299 +0530,
book,10,10,0,1.42,0.6875350000045728,,,,,,,,,,,,0,10,10,0,,,,,14.399175000005926,,14.394828542004689,14.399175000005926,14.399175000005926,15.093260500005272,1.42,0.6875350000045728,,,,,,,,,,,,,,,,3,001,2025-10-09_10h22.08.618,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h23.21.137299 +0530,
cruise,11,11,0,1.42,0.7043984580013785,,,,,,,,,,,,0,11,11,11,,,,,15.09953758300253,,15.09505424999952,15.09953758300253,15.09953758300253,15.809771125001134,1.42,0.7043984580013785,,,,,,,,,,,,,,,,3,001,2025-10-09_10h22.08.618,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h23.21.137299 +0530,
cushion,12,12,0,1.42,0.7703727920015808,,,,,,,,,,,,0,12,12,1,,,,,15.816067667001334,,15.811600833003467,15.816067667001334,15.816067667001334,16.593195375004143,1.42,0.7703727920015808,,,,,,,,,,,,,,,,3,001,2025-10-09_10h22.08.618,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h23.21.137299 +0530,
keys,13,13,0,1.42,0.6203443339982186,,,,,,,,,,,,0,13,13,13,,,,,16.599191958004667,,16.59478120800486,16.599191958004667,16.599191958004667,17.226565167002263,1.42,0.6203443339982186,,,,,,,,,,,,,,,,3,001,2025-10-09_10h22.08.618,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h23.21.137299 +0530,
marble,14,14,0,1.42,0.7705751249959576,,,,,,,,,,,,0,14,14,3,,,,,17.232490166999924,,17.228167167006177,17.232490166999924,17.232490166999924,18.00983579199965,1.42,0.7705751249959576,,,,,,,,,,,,,,,,3,001,2025-10-09_10h22.08.618,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h23.21.137299 +0530,
,0,0,0,,,_oo_,book,old,book,[np.float64(-0.03666666666666667)],[np.float64(-0.2866666666666667)],[1],[0],[0],[3.9822489590005716],['text_3'],,,,,0,0,0,13,18.023656875004235,,,,,,,,18.017785875003028,18.023656875004235,18.023656875004235,18.023656875004235,0.007950250001158565,22.00019683300343,book,[np.float64(-0.03666666666666667)],[np.float64(-0.2866666666666667)],[1],[0],[0],[3.9822489590005716],['text_3'],,3,001,2025-10-09_10h22.08.618,Word Priming Experiment,,2025.1.1,None,2025-10-09 10h23.21.137299 +0530,
