study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
board,0,0,0,1.0,2.223005915999238,,,,,,,,,,,,0,0,0,4,,,,,0.020187000001897104,,0.01020816699747229,0.020187000001897104,0.020187000001897104,2.243940833999659,1.0,2.223005915999238,,,,,,,,,,,,,,,,1,001,2025-10-08_23h52.18.801,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h52.24.404269 +0530,
pastry,1,1,0,1.0133333333333334,2.3520437499973923,,,,,,,,,,,,0,1,1,9,,,,,2.251538708995213,,2.2468975000010687,2.251538708995213,2.251538708995213,4.610326666996116,1.0133333333333334,2.3520437499973923,,,,,,,,,,,,,,,,1,001,2025-10-08_23h52.18.801,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h52.24.404269 +0530,
police,2,2,0,1.02,1.1360300840024138,,,,,,,,,,,,0,2,2,12,,,,,4.617530292001902,,4.613070874998812,4.617530292001902,4.617530292001902,5.760104125001817,1.02,1.1360300840024138,,,,,,,,,,,,,,,,1,001,2025-10-08_23h52.18.801,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h52.24.404269 +0530,
case,3,3,0,1,2.203847999997379,,,,,,,,,,,,0,3,3,10,,,,,5.766247791994829,,5.761914374998014,5.766247791994829,5.766247791994829,7.976847166995867,1,2.203847999997379,,,,,,,,,,,,,,,,1,001,2025-10-08_23h52.18.801,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h52.24.404269 +0530,
chart,4,4,0,1,0.8533239169992157,,,,,,,,,,,,0,4,4,6,,,,,7.9836890419974225,,7.979317792000074,7.9836890419974225,7.9836890419974225,8.843494333996205,1,0.8533239169992157,,,,,,,,,,,,,,,,1,001,2025-10-08_23h52.18.801,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h52.24.404269 +0530,
mouse,5,5,0,1.0133333333333334,0.8038633329997538,,,,,,,,,,,,0,5,5,8,,,,,8.849845249998907,,8.84527229199739,8.849845249998907,8.849845249998907,9.660217124997871,1.0133333333333334,0.8038633329997538,,,,,,,,,,,,,,,,1,001,2025-10-08_23h52.18.801,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h52.24.404269 +0530,
laptop,6,6,0,1.0133333333333334,0.4705390839953907,,,,,,,,,,,,0,6,6,5,,,,,9.666500416999042,,9.66197541699512,9.666500416999042,9.666500416999042,10.143525916995713,1.0133333333333334,0.4705390839953907,,,,,,,,,,,,,,,,1,001,2025-10-08_23h52.18.801,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h52.24.404269 +0530,
poster,7,7,0,1.0133333333333334,0.47288816700165626,,,,,,,,,,,,0,7,7,14,,,,,10.149872166999558,,10.14539737499581,10.149872166999558,10.149872166999558,10.627897624995967,1.0133333333333334,0.47288816700165626,,,,,,,,,,,,,,,,1,001,2025-10-08_23h52.18.801,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h52.24.404269 +0530,
cruise,8,8,0,1.0133333333333334,0.5050938749991474,,,,,,,,,,,,0,8,8,11,,,,,10.638003333995584,,10.629884834001132,10.638003333995584,10.638003333995584,11.144559624997783,1.0133333333333334,0.5050938749991474,,,,,,,,,,,,,,,,1,001,2025-10-08_23h52.18.801,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h52.24.404269 +0530,
t-shirt,9,9,0,1.0133333333333334,1.452312333000009,,,,,,,,,,,,0,9,9,7,,,,,11.151858874996833,,11.147277584001131,11.151858874996833,11.151858874996833,12.610188833998109,1.0133333333333334,1.452312333000009,,,,,,,,,,,,,,,,1,001,2025-10-08_23h52.18.801,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h52.24.404269 +0530,
marble,10,10,0,1.0266666666666666,0.6372350000019651,,,,,,,,,,,,0,10,10,3,,,,,12.616340708998905,,12.611979834000522,12.616340708998905,12.616340708998905,13.260202291996393,1.0266666666666666,0.6372350000019651,,,,,,,,,,,,,,,,1,001,2025-10-08_23h52.18.801,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h52.24.404269 +0530,
keys,11,11,0,1.02,0.8037970840014168,,,,,,,,,,,,0,11,11,13,,,,,13.266343916999176,,13.26183737500105,13.266343916999176,13.266343916999176,14.076870708995557,1.02,0.8037970840014168,,,,,,,,,,,,,,,,1,001,2025-10-08_23h52.18.801,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h52.24.404269 +0530,
cushion,12,12,0,1.02,0.7198637080000481,,,,,,,,,,,,0,12,12,1,,,,,14.083667541999603,,14.079348708997713,14.083667541999603,14.083667541999603,14.810330916996463,1.02,0.7198637080000481,,,,,,,,,,,,,,,,1,001,2025-10-08_23h52.18.801,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h52.24.404269 +0530,
phone,13,13,0,1.02,0.8201814159983769,,,,,,,,,,,,0,13,13,2,,,,,14.816859667000244,,14.812139208996086,14.816859667000244,14.816859667000244,15.643463041997165,1.02,0.8201814159983769,,,,,,,,,,,,,,,,1,001,2025-10-08_23h52.18.801,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h52.24.404269 +0530,
book,14,14,0,1.02,0.6871939999982715,,,,,,,,,,,,0,14,14,0,,,,,15.649643708995427,,15.645148541996605,15.649643708995427,15.649643708995427,16.343531874998007,1.02,0.6871939999982715,,,,,,,,,,,,,,,,1,001,2025-10-08_23h52.18.801,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h52.24.404269 +0530,
,0,0,0,,,_ha_t,chart,old,chart,"[np.float64(-0.045), np.float64(-0.043333333333333335)]","[np.float64(-0.33), np.float64(-0.32166666666666666)]","[1, 1]","[0, 0]","[0, 0]","[5.315369374999136, 6.79931820800266]","[None, 'text_3']",,,,,0,0,0,1,16.358039958999143,,,,,,,,16.351574959000573,16.358039958999143,16.358039958999143,16.358039958999143,0.00804420799977379,23.151040666998597,chart,"[np.float64(-0.045), np.float64(-0.043333333333333335)]","[np.float64(-0.33), np.float64(-0.32166666666666666)]","[1, 1]","[0, 0]","[0, 0]","[5.315369374999136, 6.79931820800266]","[None, 'text_3']",,1,001,2025-10-08_23h52.18.801,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h52.24.404269 +0530,
,1,1,0,,,c_a_,case,old,cASE,[np.float64(0.02666666666666667)],[np.float64(-0.305)],[1],[0],[0],[4.847269249999954],['text_3'],,,,,0,1,1,5,23.159973959001945,,,,,,,,23.153006791995722,23.159973959001945,23.159973959001945,23.159973959001945,0.0018160420004278421,28.00046745900181,cASE,[np.float64(0.02666666666666667)],[np.float64(-0.305)],[1],[0],[0],[4.847269249999954],['text_3'],,1,001,2025-10-08_23h52.18.801,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h52.24.404269 +0530,
,2,2,0,,,t_hi_t,t-shirt,old,tshirt,[np.float64(0.025)],[np.float64(-0.305)],[1],[0],[0],[4.797685999998066],['text_3'],,,,,0,2,2,2,28.010137291996216,,,,,,,,28.002924708998762,28.010137291996216,28.010137291996216,28.010137291996216,0.0023577909960295074,32.80080970899871,tshirt,[np.float64(0.025)],[np.float64(-0.305)],[1],[0],[0],[4.797685999998066],['text_3'],,1,001,2025-10-08_23h52.18.801,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h52.24.404269 +0530,
,3,3,0,,,v_s_,vase,new,vase,[np.float64(0.025)],[np.float64(-0.305)],[1],[0],[0],[2.413448832994618],['text_3'],,,,,0,3,3,17,32.81086474999756,,,,,,,,32.80368037500011,32.81086474999756,32.81086474999756,32.81086474999756,0.002750833002210129,35.21731712499604,vase,[np.float64(0.025)],[np.float64(-0.305)],[1],[0],[0],[2.413448832994618],['text_3'],,1,001,2025-10-08_23h52.18.801,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h52.24.404269 +0530,
,4,4,0,,,_a_bl_,marble,old,marble,[np.float64(-0.0016666666666666668)],[np.float64(-0.31666666666666665)],[1],[0],[0],[4.763638374999573],['text_3'],,,,,0,4,4,11,35.2265975420014,,,,,,,,35.21933416699903,35.2265975420014,35.2265975420014,35.2265975420014,0.0019203750052838586,39.9831608339955,marble,[np.float64(-0.0016666666666666668)],[np.float64(-0.31666666666666665)],[1],[0],[0],[4.763638374999573],['text_3'],,1,001,2025-10-08_23h52.18.801,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h52.24.404269 +0530,
,5,5,0,,,p_st_r,poster,old,pastor,[np.float64(-0.02)],[np.float64(-0.31666666666666665)],[1],[0],[0],[6.581600707999314],['text_3'],,,,,0,5,5,9,39.99308824999753,,,,,,,,39.985285208997084,39.99308824999753,39.99308824999753,39.99308824999753,0.0020294579953770153,46.56708200000139,pastor,[np.float64(-0.02)],[np.float64(-0.31666666666666665)],[1],[0],[0],[6.581600707999314],['text_3'],,1,001,2025-10-08_23h52.18.801,Word Priming Experiment,,2025.1.1,None,2025-10-08 23h52.24.404269 +0530,
