pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line_1.started,line_2.started,line_3.started,line_4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.9325810829759575,None,0,0,0,0,,,,,0.012434207950718701,,0.009253041993360966,0.012434207950718701,1.0068973749876022,1.0068973749876022,1.0068973749876022,1.0068973749876022,1.0105909999692813,1.9981137499562465,1.9981137499562465,3.114461457997095,x,1,0.9325810829759575,None,,,,,1,001,2025-10-01_10h44.56.774, Motor Sequence Learning,,2025.1.1,None,2025-10-01 10h45.04.605132 +0530,
150,v,1,1,0,v,1,0.3226656239712611,None,0,1,1,1,,,,,3.1195475829881616,,3.1146385419997387,3.1195475829881616,4.112111666996498,4.112111666996498,4.112111666996498,4.112111666996498,4.112111666996498,5.112539833004121,5.112539833004121,5.44229745795019,v,1,0.3226656239712611,None,,,,,1,001,2025-10-01_10h44.56.774, Motor Sequence Learning,,2025.1.1,None,2025-10-01 10h45.04.605132 +0530,
50,c,2,2,0,c,1,0.3694652909762226,None,0,2,2,2,,,,,5.450761999993119,,5.442895874963142,5.450761999993119,6.4407311249524355,6.4407311249524355,6.4407311249524355,6.4407311249524355,6.44520208297763,7.440611291967798,7.440611291967798,7.813574666972272,c,1,0.3694652909762226,None,,,,,1,001,2025-10-01_10h44.56.774, Motor Sequence Learning,,2025.1.1,None,2025-10-01 10h45.04.605132 +0530,
-150,z,3,3,0,z,1,0.318041249003727,None,0,3,3,3,,,,,7.823086874966975,,7.814083291974384,7.823086874966975,8.811573666986078,8.811573666986078,8.811573666986078,8.811573666986078,8.811573666986078,9.813027957978193,9.813027957978193,10.142336791963317,z,1,0.318041249003727,None,,,,,1,001,2025-10-01_10h44.56.774, Motor Sequence Learning,,2025.1.1,None,2025-10-01 10h45.04.605132 +0530,
-50,x,4,0,1,x,1,0.38956916600000113,None,1,0,4,0,,,,,10.150946207984816,,10.142916832992341,10.150946207984816,11.140662541962229,11.140662541962229,11.140662541962229,11.140662541962229,11.144967250002082,12.14055837498745,12.14055837498745,12.542378166981507,x,1,0.38956916600000113,None,,,,,1,001,2025-10-01_10h44.56.774, Motor Sequence Learning,,2025.1.1,None,2025-10-01 10h45.04.605132 +0530,
150,v,5,1,1,v,1,0.3385044159949757,None,1,1,5,1,,,,,12.550959874992259,,12.542943291948177,12.550959874992259,13.540652499999851,13.540652499999851,13.540652499999851,13.540652499999851,13.545080916956067,14.540584082948044,14.540584082948044,14.880417291948106,v,1,0.3385044159949757,None,,,,,1,001,2025-10-01_10h44.56.774, Motor Sequence Learning,,2025.1.1,None,2025-10-01 10h45.04.605132 +0530,
50,c,6,2,1,c,1,0.3089482079958543,None,1,2,6,2,,,,,14.889740999962669,,14.880955041968264,14.889740999962669,15.878114832972642,15.878114832972642,15.878114832972642,15.878114832972642,15.878114832972642,16.879153999965638,16.879153999965638,17.191970207961276,c,1,0.3089482079958543,None,,,,,1,001,2025-10-01_10h44.56.774, Motor Sequence Learning,,2025.1.1,None,2025-10-01 10h45.04.605132 +0530,
-150,z,7,3,1,z,1,0.28531674901023507,None,1,3,7,3,,,,,17.19652249995852,,17.192644499999005,17.19652249995852,18.190559749957174,18.190559749957174,18.190559749957174,18.190559749957174,18.195085041981656,19.19058670796221,19.19058670796221,19.480488582979888,z,1,0.28531674901023507,None,,,,,1,001,2025-10-01_10h44.56.774, Motor Sequence Learning,,2025.1.1,None,2025-10-01 10h45.04.605132 +0530,
-50,x,8,0,2,x,1,0.4203582069603726,None,2,0,8,0,,,,,19.489653625001665,,19.48098804196343,19.489653625001665,20.478470832982566,20.478470832982566,20.478470832982566,20.478470832982566,20.478470832982566,21.47959683299996,21.47959683299996,21.908815832983237,x,1,0.4203582069603726,None,,,,,1,001,2025-10-01_10h44.56.774, Motor Sequence Learning,,2025.1.1,None,2025-10-01 10h45.04.605132 +0530,
150,v,9,1,2,v,1,0.26063433301169425,None,2,1,9,1,,,,,21.917165916995145,,21.909373292000964,21.917165916995145,22.907107499951962,22.907107499951962,22.907107499951962,22.907107499951962,22.911442707991228,23.90726695797639,23.90726695797639,24.175725249981042,v,1,0.26063433301169425,None,,,,,1,001,2025-10-01_10h44.56.774, Motor Sequence Learning,,2025.1.1,None,2025-10-01 10h45.04.605132 +0530,
