word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,textbox.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,key_resp.started,text.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thanks.started,textbox_2.started,textbox_2.stopped,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.003057874999285559,0.006173666000904632,0.006173666000904632,5.6525738750005985,space,5.4626368320004985,None,,,,,,,,,,,,,,,1,001,2025-08-21_16h09.18.560,stroop 0.1,,2025.1.1,None,2025-08-21 16h09.32.276691 +0530,
RED,red,C,r,0,0,0,r,1,2.2244756660002167,None,0,0,0,0,5.680769791000785,,,,,,,,,5.674961665999945,5.680769791000785,5.680769791000785,6.15348533299948,6.168722624999646,7.919060165999326,r,1,2.2244756660002167,None,,,,,1,001,2025-08-21_16h09.18.560,stroop 0.1,,2025.1.1,None,2025-08-21 16h09.32.276691 +0530,
BLUE,red,I,r,1,1,0,r,1,1.7122314989992446,None,0,1,1,3,7.936066333000781,,,,,,,,,7.928455166000276,7.936066333000781,7.936066333000781,8.4171017080007,8.433734415999425,9.65229829099917,r,1,1.7122314989992446,None,,,,,1,001,2025-08-21_16h09.18.560,stroop 0.1,,2025.1.1,None,2025-08-21 16h09.32.276691 +0530,
RED,blue,I,b,2,2,0,b,1,1.113525998998739,None,0,2,2,1,9.663801832999525,,,,,,,,,9.656642874999307,9.663801832999525,9.663801832999525,10.150335750000522,10.153217375000168,10.785226583000622,b,1,1.113525998998739,None,,,,,1,001,2025-08-21_16h09.18.560,stroop 0.1,,2025.1.1,None,2025-08-21 16h09.32.276691 +0530,
BLUE,blue,C,b,3,3,0,b,1,0.9479456660010328,None,0,3,3,2,10.80034225000054,,,,,,,,,10.794230583000171,10.80034225000054,10.80034225000054,11.283819457999925,11.287302291000742,11.753358915999343,b,1,0.9479456660010328,None,,,,,1,001,2025-08-21_16h09.18.560,stroop 0.1,,2025.1.1,None,2025-08-21 16h09.32.276691 +0530,
RED,red,C,r,4,0,1,r,1,1.072084375000486,None,1,0,4,0,11.766061958000137,,,,,,,,,11.758173165999324,11.766061958000137,11.766061958000137,12.250529708000613,12.253759040999284,12.83956866600056,r,1,1.072084375000486,None,,,,,1,001,2025-08-21_16h09.18.560,stroop 0.1,,2025.1.1,None,2025-08-21 16h09.32.276691 +0530,
BLUE,blue,C,b,5,1,1,b,1,1.1513919990011345,None,1,1,5,2,12.853766374999395,,,,,,,,,12.844713250000495,12.853766374999395,12.853766374999395,13.339657250000528,13.350280250000651,14.018975166000018,b,1,1.1513919990011345,None,,,,,1,001,2025-08-21_16h09.18.560,stroop 0.1,,2025.1.1,None,2025-08-21 16h09.32.276691 +0530,
BLUE,red,I,r,6,2,1,r,1,1.0248191659993608,None,1,2,6,3,14.02885737500037,,,,,,,,,14.020346332999907,14.02885737500037,14.02885737500037,14.517133290999482,14.520827041000302,15.055281250000917,r,1,1.0248191659993608,None,,,,,1,001,2025-08-21_16h09.18.560,stroop 0.1,,2025.1.1,None,2025-08-21 16h09.32.276691 +0530,
RED,blue,I,b,7,3,1,b,1,1.2659559160001663,None,1,3,7,1,15.07011783300004,,,,,,,,,15.059906250000495,15.07011783300004,15.07011783300004,15.556568583000626,15.566995916000451,16.338712082999336,b,1,1.2659559160001663,None,,,,,1,001,2025-08-21_16h09.18.560,stroop 0.1,,2025.1.1,None,2025-08-21 16h09.32.276691 +0530,
RED,red,C,r,8,0,2,r,1,1.222687916000723,None,2,0,8,0,16.35036941600083,,,,,,,,,16.33971937500064,16.35036941600083,16.35036941600083,16.83904054100094,16.83904054100094,17.58562420800081,r,1,1.222687916000723,None,,,,,1,001,2025-08-21_16h09.18.560,stroop 0.1,,2025.1.1,None,2025-08-21 16h09.32.276691 +0530,
