pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line_1.started,line_2.started,line_3.started,line_4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.5344270410132594,None,0,0,0,0,,,,,0.016140667023137212,,0.009255666984245181,0.016140667023137212,1.0103809169959277,1.0103809169959277,1.0103809169959277,1.0103809169959277,1.0128018750110641,2.0004256250103936,2.0004256250103936,2.7111345829907805,x,1,0.5344270410132594,None,,,,,3,001,2025-10-01_11h45.19.951, Motor Sequence Learning,,2025.1.1,None,2025-10-01 11h46.48.403798 +0530,
150,v,1,1,0,v,1,0.3188848739955574,None,0,1,1,1,,,,,2.715834792004898,,2.7113081670249812,2.715834792004898,3.6995063750073314,3.6995063750073314,3.6995063750073314,3.6995063750073314,3.7101772080059163,4.6993606250034645,4.6993606250034645,5.028552667004988,v,1,0.3188848739955574,None,,,,,3,001,2025-10-01_11h45.19.951, Motor Sequence Learning,,2025.1.1,None,2025-10-01 11h46.48.403798 +0530,
50,c,2,2,0,c,1,0.2929789580521174,None,0,2,2,2,,,,,5.037098166998476,,5.029093916993588,5.037098166998476,6.027064708003309,6.027064708003309,6.027064708003309,6.027064708003309,6.032016417011619,7.026850582973566,7.026850582973566,7.328816332970746,c,1,0.2929789580521174,None,,,,,3,001,2025-10-01_11h45.19.951, Motor Sequence Learning,,2025.1.1,None,2025-10-01 11h46.48.403798 +0530,
-150,z,3,3,0,z,1,0.4511221249704249,None,0,3,3,3,,,,,7.337872333009727,,7.329493207973428,7.337872333009727,8.326936875004321,8.326936875004321,8.326936875004321,8.326936875004321,8.332331957994029,9.326729791995604,9.326729791995604,9.78227412502747,z,1,0.4511221249704249,None,,,,,3,001,2025-10-01_11h45.19.951, Motor Sequence Learning,,2025.1.1,None,2025-10-01 11h46.48.403798 +0530,
-50,x,4,0,1,x,1,0.32010637398343533,None,1,0,4,0,,,,,9.793127958022524,,9.782777416985482,9.793127958022524,10.783595625020098,10.783595625020098,10.783595625020098,10.783595625020098,10.783595625020098,11.782549083000049,11.782549083000049,12.111733708006795,x,1,0.32010637398343533,None,,,,,3,001,2025-10-01_11h45.19.951, Motor Sequence Learning,,2025.1.1,None,2025-10-01 11h46.48.403798 +0530,
150,v,5,1,1,v,1,0.38949691597372293,None,1,1,5,1,,,,,12.121567207970656,,12.112326333008241,12.121567207970656,13.110347541980445,13.110347541980445,13.110347541980445,13.110347541980445,13.116454207978677,14.110167625010945,14.110167625010945,14.511817957973108,v,1,0.38949691597372293,None,,,,,3,001,2025-10-01_11h45.19.951, Motor Sequence Learning,,2025.1.1,None,2025-10-01 11h46.48.403798 +0530,
50,c,6,2,1,x,0,0.25129645701963454,None,1,2,6,2,,,,,14.520454042009078,,14.512392333010212,14.520454042009078,15.510094167024363,15.510094167024363,15.510094167024363,15.510094167024363,15.51491841697134,16.51025837502675,16.51025837502675,16.76572154200403,x,0,0.25129645701963454,None,,,,,3,001,2025-10-01_11h45.19.951, Motor Sequence Learning,,2025.1.1,None,2025-10-01 11h46.48.403798 +0530,
-150,z,7,3,1,z,1,0.520288416009862,None,1,3,7,3,,,,,16.77633166697342,,16.76623720797943,16.77633166697342,17.7658341670176,17.7658341670176,17.7658341670176,17.7658341670176,17.7658341670176,18.766418749990407,18.766418749990407,19.2951313329977,z,1,0.520288416009862,None,,,,,3,001,2025-10-01_11h45.19.951, Motor Sequence Learning,,2025.1.1,None,2025-10-01 11h46.48.403798 +0530,
-50,x,8,0,2,x,1,0.49799579102545977,None,2,0,8,0,,,,,19.303690332977567,,19.29567775002215,19.303690332977567,20.29366033297265,20.29366033297265,20.29366033297265,20.29366033297265,20.29904891701881,21.293488207971677,21.293488207971677,21.79518445802387,x,1,0.49799579102545977,None,,,,,3,001,2025-10-01_11h45.19.951, Motor Sequence Learning,,2025.1.1,None,2025-10-01 11h46.48.403798 +0530,
150,v,9,1,2,v,1,0.3148047069553286,None,2,1,9,1,,,,,21.80384349997621,,21.795755417027976,21.80384349997621,22.79383733298164,22.79383733298164,22.79383733298164,22.79383733298164,22.800255374982953,23.793625416990835,23.793625416990835,24.111706166993827,v,1,0.3148047069553286,None,,,,,3,001,2025-10-01_11h45.19.951, Motor Sequence Learning,,2025.1.1,None,2025-10-01 11h46.48.403798 +0530,
